Metric,Value,Source,Run At
Number of Paths,36372,schema_2013-08-07.n3,07.08.2013
Absolute Depth,135872,schema_2013-08-07.n3,07.08.2013
Average Depth,3.74,schema_2013-08-07.n3,07.08.2013
Maximal Depth,9,schema_2013-08-07.n3,07.08.2013
Ontology Tangledness,23.17,schema_2013-08-07.n3,07.08.2013
Degree Variance,204.34,schema_2013-08-07.n3,07.08.2013
Number of Entities,1310,schema_2013-08-07.n3,07.08.2013
Number of Properties,7,schema_2013-08-07.n3,07.08.2013
Number of Classes,533,schema_2013-08-07.n3,07.08.2013
Number of Instances,1286,schema_2013-08-07.n3,07.08.2013
Number of Object Properties,5,schema_2013-08-07.n3,07.08.2013
Depth of Inheritance Tree,5,schema_2013-08-07.n3,07.08.2013
Property Class Ratio,0,schema_2013-08-07.n3,07.08.2013
Class Property Ratio,0,schema_2013-08-07.n3,07.08.2013
Inheritance Richness,1.04,schema_2013-08-07.n3,07.08.2013
Attribute Richness,0,schema_2013-08-07.n3,07.08.2013
Average Population,2.41,schema_2013-08-07.n3,07.08.2013
Average Class Connectivity,6.2,schema_2013-08-07.n3,07.08.2013
Cohesion,1,schema_2013-08-07.n3,07.08.2013
Number of Paths,57658,schema_v2.n3,12.05.2015
Absolute Depth,219507,schema_v2.n3,12.05.2015
Average Depth,3.81,schema_v2.n3,12.05.2015
Maximal Depth,9,schema_v2.n3,12.05.2015
Ontology Tangledness,15.78,schema_v2.n3,12.05.2015
Degree Variance,289.95,schema_v2.n3,12.05.2015
Number of Entities,1855,schema_v2.n3,12.05.2015
Number of Properties,12,schema_v2.n3,12.05.2015
Number of Classes,647,schema_v2.n3,18.11.2025
Number of Instances,1790,schema_v2.n3,12.05.2015
Number of Object Properties,10,schema_v2.n3,12.05.2015
Depth of Inheritance Tree,5,schema_v2.n3,12.05.2015
Property Class Ratio,0,schema_v2.n3,12.05.2015
Class Property Ratio,0,schema_v2.n3,12.05.2015
Inheritance Richness,1.04,schema_v2.n3,12.05.2015
Attribute Richness,0,schema_v2.n3,12.05.2015
Average Population,2.77,schema_v2.n3,12.05.2015
Average Class Connectivity,9.62,schema_v2.n3,12.05.2015
Cohesion,1,schema_v2.n3,12.05.2015
Number of Paths,43728,schema_v3.n3,04.05.2016
Absolute Depth,156256,schema_v3.n3,04.05.2016
Average Depth,3.57,schema_v3.n3,04.05.2016
Maximal Depth,9,schema_v3.n3,04.05.2016
Ontology Tangledness,39.33,schema_v3.n3,04.05.2016
Degree Variance,269.22,schema_v3.n3,04.05.2016
Number of Entities,1571,schema_v3.n3,04.05.2016
Number of Properties,13,schema_v3.n3,04.05.2016
Number of Classes,590,schema_v3.n3,04.05.2016
Number of Instances,1511,schema_v3.n3,04.05.2016
Number of Object Properties,11,schema_v3.n3,04.05.2016
Depth of Inheritance Tree,5,schema_v3.n3,04.05.2016
Property Class Ratio,0,schema_v3.n3,04.05.2016
Class Property Ratio,0,schema_v3.n3,04.05.2016
Inheritance Richness,1,schema_v3.n3,04.05.2016
Attribute Richness,0,schema_v3.n3,04.05.2016
Average Population,2.56,schema_v3.n3,04.05.2016
Average Class Connectivity,9.79,schema_v3.n3,04.05.2016
Cohesion,1,schema_v3.n3,04.05.2016
