Metric,Value,Source,Run At
Number of Paths,2054160,vienna-dbpedia-2013-09.ttl,01.09.2013
Absolute Depth,4108320,vienna-dbpedia-2013-09.ttl,01.09.2013
Average Depth,2,vienna-dbpedia-2013-09.ttl,01.09.2013
Maximum Depth,2,vienna-dbpedia-2013-09.ttl,01.09.2013
Degree Variance,13912.81,vienna-dbpedia-2013-09.ttl,01.09.2013
Number of Entities,2991,vienna-dbpedia-2013-09.ttl,01.09.2013
Number of Properties,365,vienna-dbpedia-2013-09.ttl,01.09.2013
Number of Classes,9,vienna-dbpedia-2013-09.ttl,01.09.2013
Number of Instances,1,vienna-dbpedia-2013-09.ttl,01.09.2013
Number of Object Properties,167,vienna-dbpedia-2013-09.ttl,01.09.2013
Average Population,0.11,vienna-dbpedia-2013-09.ttl,01.09.2013
Average Class Connectivity,0,vienna-dbpedia-2013-09.ttl,01.09.2013
Cohesion,1,vienna-dbpedia-2013-09.ttl,01.09.2013
Number of Paths,2661792,vienna-dbpedia-2014-09.ttl,01.09.2014
Absolute Depth,5323584,vienna-dbpedia-2014-09.ttl,01.09.2014
Average Depth,2,vienna-dbpedia-2014-09.ttl,01.09.2014
Maximum Depth,2,vienna-dbpedia-2014-09.ttl,01.09.2014
Degree Variance,16425.86,vienna-dbpedia-2014-09.ttl,01.09.2014
Number of Entities,3843,vienna-dbpedia-2014-09.ttl,01.09.2014
Number of Properties,388,vienna-dbpedia-2014-09.ttl,01.09.2014
Number of Classes,47,vienna-dbpedia-2014-09.ttl,01.09.2014
Number of Instances,1,vienna-dbpedia-2014-09.ttl,01.09.2014
Number of Object Properties,188,vienna-dbpedia-2014-09.ttl,01.09.2014
Average Population,0.02,vienna-dbpedia-2014-09.ttl,01.09.2014
Average Class Connectivity,0,vienna-dbpedia-2014-09.ttl,01.09.2014
Cohesion,1,vienna-dbpedia-2014-09.ttl,01.09.2014
Number of Paths,3137154,vienna-dbpedia-2015-04.ttl,01.04.2015
Absolute Depth,6282542,vienna-dbpedia-2015-04.ttl,01.04.2015
Average Depth,2,vienna-dbpedia-2015-04.ttl,01.04.2015
Maximum Depth,3,vienna-dbpedia-2015-04.ttl,01.04.2015
Degree Variance,16363.64,vienna-dbpedia-2015-04.ttl,01.04.2015
Number of Entities,4326,vienna-dbpedia-2015-04.ttl,01.04.2015
Number of Properties,388,vienna-dbpedia-2015-04.ttl,01.04.2015
Number of Classes,46,vienna-dbpedia-2015-04.ttl,01.04.2015
Number of Instances,1,vienna-dbpedia-2015-04.ttl,01.04.2015
Number of Object Properties,186,vienna-dbpedia-2015-04.ttl,01.04.2015
Average Population,0.02,vienna-dbpedia-2015-04.ttl,01.04.2015
Average Class Connectivity,0,vienna-dbpedia-2015-04.ttl,01.04.2015
Cohesion,1,vienna-dbpedia-2015-04.ttl,01.04.2015
Number of Paths,14054148,vienna-dbpedia-2016-10.ttl,01.10.2016
Absolute Depth,28108296,vienna-dbpedia-2016-10.ttl,01.10.2016
Average Depth,2,vienna-dbpedia-2016-10.ttl,01.10.2016
Maximum Depth,2,vienna-dbpedia-2016-10.ttl,01.10.2016
Degree Variance,38925.23,vienna-dbpedia-2016-10.ttl,01.10.2016
Number of Entities,23153,vienna-dbpedia-2016-10.ttl,01.10.2016
Number of Properties,311,vienna-dbpedia-2016-10.ttl,01.10.2016
Number of Classes,2,vienna-dbpedia-2016-10.ttl,01.10.2016
Number of Instances,1,vienna-dbpedia-2016-10.ttl,01.10.2016
Number of Object Properties,145,vienna-dbpedia-2016-10.ttl,01.10.2016
Average Population,0.5,vienna-dbpedia-2016-10.ttl,01.10.2016
Average Class Connectivity,2,vienna-dbpedia-2016-10.ttl,01.10.2016
Cohesion,1,vienna-dbpedia-2016-10.ttl,01.10.2016
Number of Paths,42310236,vienna-dbpedia-2022-09.ttl,01.09.2022
Absolute Depth,84620472,vienna-dbpedia-2022-09.ttl,01.09.2022
Average Depth,2,vienna-dbpedia-2022-09.ttl,01.09.2022
